Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 18, Minneapolis, Minnesota",18-RC-017575,"Progress Casting Group, Inc.",Closed,04/28/2008,06/13/2008,"Certification of Results","New Hampton",IA,A,"Single Labor Organization",Initial,06/06/2008,93,1,"GMP INTERNATIONAL UNION AFL-CIO, CLC",24,,,,,64,88,N,,N,,"All full-time production and maintenance employees, janitorial employees, and shipping and receiving employees employed at the Employer's 2205 Rusty Kennedy Road, New Hampton, Iowa facility; excluding all office clerical employees, confidential emplo",,,
"Region 31, Los Angeles, California",31-RC-008693,"Mc Elroy Metal Mill Inc.",Closed,04/25/2008,06/18/2008,"Certification of Results",Adelanto,CA,A,"Single Labor Organization",Initial,06/06/2008,21,1,"TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN, INDUSTRIAL AND ALLIED WORKERS OF AMERICA, LOCAL 166",1,,,,,18,19,N,,N,,"Included:  All production and maintenance employees, including operators, helpers, journeymen, loaders, storekeepers, packaging coordinators, and inventory control clerks employees by the Employer at its Adelanto, CA plant.

Excluded:  All other em",,,
"Region 21, Los Angeles, California",21-RC-020823,"A.M. Ortega Construction, Inc.",Closed,04/19/2005,04/03/2009,"Certific. of Representative",Lakeside,CA,A,"Two Labor Organizations",Rerun,06/06/2008,86,,"INTERNATIONAL UNION OF OPERATING ENGINEERS, LOCAL 12",11,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 47, AFL-CIO, CLC",,,,,39,N,36,Y,,"All field construction employees performing any and all work in connection with the installation of dry and wet utilities (including but not limited to gas, electric, telephone, cable, and television) employed at or out of the Employer's yard at 1012","All field construction employees performing any and all work in connection with the installation of dry and wet utilities (including but not limited to gas, electric, telephone, cable, and television) employed at or out of the Employer's yard at 6261","All field construction employees performing any and all work in connection with the installation of dry and wet utilities (including but not limited to gas, electric, telephone, cable, and television) employed at or out of the Employer's yard at 6261","All field construction employees performing any and all work in connection with the installation of dry and wet utilities (including but not limited to gas, electric, telephone, cable, and television) employed at or out of the Employer's yard at 6261"
"Region 19, Seattle, Washington",19-RC-015087,"MultiCare Health System",Closed,04/25/2008,06/13/2008,"Certification of Results",Auburn,WA,A,"Single Labor Organization",Initial,06/05/2008,216,,"UFCW LOCAL 21",75,,,,,108,183,N,1,N,,"All full-time, regular part-time, and on-call employees, who average four (4) or more hours of work per week, employed by the Employer in the following positions: Licensed Practical Nurses (LPN's), Clinic Coders, Receptionists, Medical Assistants, He",,,
"Region 20, San Francisco, California",20-RC-018186,"Catholic Healthcare West",Closed,05/16/2008,06/18/2008,"Certific. of Representative",Sacramento,CA,A,"Single Labor Organization",Initial,06/05/2008,10,,"CALIFORNIA NURSES ASSOCIATION/NATIONAL NURSES ORGANIZING COMMITTE, NATIONAL NURSES UNITED, AFL-CIO",4,,,,,3,7,N,,N,"CALIFORNIA NURSES ASSOCIATION/NATIONAL NURSES ORGANIZING COMMITTE, NATIONAL NURSES UNITED, AFL-CIO","All full-time and regular part-time direct care registered nurses and non-manger registered nurses employed by the Employer at its facilities located at 406-1/2 Sunrise Ave., Roseville, California; 6555 Coyle Avenue, Carmichael, California; 4400 Duck",,,
"Region 20, San Francisco, California",20-RC-018187,"Methodist Hospital",Closed,05/16/2008,09/23/2008,"Certific. of Representative",Sacramento,CA,A,"Single Labor Organization",Initial,06/05/2008,3,,"CALIFORNIA NURSES ASSOCIATION/NATIONAL NURSES ORGANIZING COMMITTE, NATIONAL NURSES UNITED, AFL-CIO",1,,,,,1,2,N,1,Y,,"All full-time and regular part-time registered nurses holding the job title of RAI Coordinators employed by the Employer at its 8151 Bruceville Road location; excluding all other employees, managers, guards, and supervisors as defined by the Act.",,,
"Region 22, Newark, New Jersey",22-RC-012917,"Monmouth University",Closed,04/30/2008,06/18/2008,"Certific. of Representative","West Long Branch",NJ,A,"Two Labor Organizations",Initial,06/05/2008,13,,"OFFICE AND PROFESSIONAL EMPLOYEES INTERNANTIONAL UNION, AFL-CIO, LOCAL 32",11,"INTERNATIONAL UNION OF PRODUCTION, CLERICAL AND PUBLIC EMPLOYEES, LOCAL 911",,,,,12,N,,N,"OFFICE AND PROFESSIONAL EMPLOYEES INTERNANTIONAL UNION, AFL-CIO, LOCAL 32","Inc. All working foreperson performing custodial, building and grounds, and mechanical systems maintenance work at the West Long Branch, N.J. campus.
Exc. All office and clerical employees, professional employees, administrative employees and guards",,,
"Region 22, Newark, New Jersey",22-RC-012914,"First Student, Inc.",Closed,04/24/2008,06/18/2008,"Certific. of Representative","Neptune City",NJ,A,"Single Labor Organization",Initial,06/05/2008,184,,"TEAMSTERS LOCAL 469",130,,,,,30,160,N,,N,"TEAMSTERS LOCAL 469","Inc. All full time and regular part time Drivers, Monitors/Aids, Mechanics and Fuelers/Yardmen.
Exc All managers, supervisors, office staff and all others as defined in the Act...",,,
"Region 22, Newark, New Jersey",22-RC-012919,"North Bay Builders, Inc.",Closed,05/02/2008,06/18/2008,"Certific. of Representative",Brick,NJ,A,"Single Labor Organization",Initial,06/05/2008,2,,"PAINTERS DISRICT COUNCIL 711",2,,,,,,2,N,,N,"PAINTERS DISRICT COUNCIL 711","INCLUDED:  All full and part-time fore-persons, journey-persons and apprentice drywall finishers and tapers.

EXCLUDED:  Office clerical, guards, supervisors as defined by the Act.",,,
"Region 29, Brooklyn, New York",29-RC-011593,"SMG at Nassau Coliseum",Closed,05/02/2008,08/21/2008,"Withdrawal Non-adjusted",Uniondale,NY,A,"Single Labor Organization",Initial,06/05/2008,227,1,"LOCAL 642, SECUIRTY ALLIANCE FEDERATION OF EMPLOYEES",52,,,,,109,161,N,13,N,,"Included:  All full-time and regular part-time uniformed and non-uniformed guards employed by the Employer at Nassau Coliseum located at 1255 Hempstead Turnpike, Uniondale, New York.

Excluded:  All other employees and supervisors as defined in Section 2(11) of the Act.",,,
"Region 01, Boston, Massachusetts",34-RD-000339,"First Student, Inc.",Closed,07/02/2007,06/13/2008,"Certific. of Representative","New Haven",CT,A,"Single Labor Organization",Initial,06/05/2008,249,,"CSEA, LOCAL 2001, SERVICE EMPLOYEES INTERNATIONAL UNION",93,,,,,68,161,N,6,N,"CSEA, LOCAL 2001, SERVICE EMPLOYEES INTERNATIONAL UNION","All full-time and regular part-time drivers and spare drivers employed by the Employer at its 140 Middletown Avenue, New Haven, Connecticut facility; but excluding all other employees, mechanics, dispatchers, maintenance employees, trainers, office c",,,
"Region 20, San Francisco, California",37-RD-000423,"Loomis Armored US",Closed,04/25/2008,06/16/2008,"Certification of Results",Honolulu,HI,A,"Single Labor Organization",Initial,06/05/2008,59,,"SECURITY, POLICE & FIRE PROFESSIONALS OF AMERICA (SPFPA)",3,,,,,37,40,N,,N,,"Included:  All full-time and regular part-time security guards, performing guards duties as defined in Section 9(b)(3) of the National Labor Relations Act, as amended, and employed by Loomis Armored US at its 1420 Kalani Street, Honolulu, Hawaii faci",,,
"Region 01, Boston, Massachusetts",34-RC-002266,"Davey Tree Expert Company",Closed,04/29/2008,06/13/2008,"Certification of Results",Manchester,CT,A,"Single Labor Organization",Initial,06/05/2008,48,,"IBEW LOCAL 42",10,,,,,28,38,N,1,N,,"All full-time and regular part-time working foremen, groundsmen, and trimmers employed by the Employer within the State of Connecticut working under the Central Division, Connecticut Light and Power Utility Contract; but excluding all account manager",,,
"Region 13, Chicago, Illinois",13-RC-021748,"CMK Companies and/or Forth Group and/or 1720 S. Michigan Condominiums",Closed,04/29/2008,06/16/2008,"Certification of Results",Chicago,IL,A,"Single Labor Organization",Initial,06/04/2008,3,,"SEIU LOCAL 1",1,,,,,2,3,N,,N,,"All full and part-time employees and working supervisors performing cleaning and maintenance services at the building located at 1720 South Michigan Avenue, Chicago, Illinois employed by 1720 S. Michigan Condominiums and full and part-time employees",,,
"Region 01, Boston, Massachusetts",01-RC-022200,"Aggregate Industries-Northeast Region, Inc.",Closed,03/26/2008,06/13/2008,"Certific. of Representative",Chelmsford,MA,A,"Single Labor Organization",Initial,06/04/2008,9,,"INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL UNION NO. 4, AFL-CIO",8,,,,,1,9,N,,N,"INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL UNION NO. 4, AFL-CIO","All full-time and regular part-time plant operators, loader operators, laborers, and foremen employed by the Employer at its Chelmsford, Massachusetts facility, but excluding all other employees, clerical employees, office employees, guards, and supe",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-021390,"Pirtek a/k/a Mid Atlantic Hose",Closed,01/30/2008,11/10/2008,"Withdrawal Non-adjusted",Folcroft,PA,A,"Single Labor Organization",Rerun,06/04/2008,7,,"INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 542, AFL-CIO",1,,,,,4,5,N,2,N,,"INCLUDED:  All full-time and regular part-time Mobile Sales and Service Technicians employed by the Employer at its Folcroft, Pennsylvania facility.

EXCLUDED: the Operations Manager, office clerical employees, guards, and supervisors as defined by",,,
"Region 05, Baltimore, Maryland",05-RC-016216,"Sectek, Inc.",Closed,04/15/2008,06/13/2008,"Certific. of Representative",Washington,DC,A,"Single Labor Organization",Initial,06/04/2008,35,,"INTERNATIONAL UNION, SECURITY, POLICE AND FIRE PROFESSIONALS OF AMERICA (SPFPA)",17,,,,,,17,N,,N,"INTERNATIONAL UNION, SECURITY, POLICE AND FIRE PROFESSIONALS OF AMERICA (SPFPA)","All full-time and regular part-time security officers employed by the Employer at the USDA facilities at 3501 New York Ave., NE, Washington, DC (National Arboretum), 10300 Baltimore Ave., Beltsville, MD; and 10301 Baltimore Ave., Beltsville, MD (Nati",,,
"Region 07, Detroit, Michigan",07-RC-023189,"Metro Cars",Closed,04/22/2008,06/13/2008,"Certific. of Representative",Detroit,MI,A,"Single Labor Organization",Initial,06/04/2008,23,1,"LOCAL 283 TEAMSTERS",11,,,,,5,16,N,1,N,"LOCAL 283 TEAMSTERS","All full-time and regular part time professional drivers operating vans and mini-buses employed by the Employer performing transportation duties for Metro Transportation LLC working out of the Employer facility located at 1725 Howard Street, Detroit,",,,
"Region 18, Minneapolis, Minnesota",18-RD-002643,"Pioneer Home, Inc.",Closed,04/25/2008,06/11/2008,"Certification of Results","Fergus Falls",MN,A,"Single Labor Organization",Initial,06/04/2008,81,,"UNITED STEEL WORKERS OF AMERICA AFL-CIO",22,,,,,43,65,N,2,N,,"All full-time and regular part-time employees, including CNAs, van drivers, and housekeeping, dietary, laundry, activity and maintenance departments' employees, employed by the Employer at the Fergus Falls, Minnesota facility; excluding RNs, LPNs, of",,,
"Region 20, San Francisco, California",20-RC-018183,"V. Dolan Trucking",Closed,04/14/2008,06/23/2008,"Certific. of Representative",Penngrove,CA,A,"Single Labor Organization",Initial,06/04/2008,36,1,"TEAMSTERS LOCAL 624, INTERNATIONAL BROTHERHOOD OF TEAMSTERS AND DISTRICT LODGE 190, INTERNATIONAL AS",23,,,,,10,33,N,1,N,"TEAMSTERS LOCAL 624, INTERNATIONAL BROTHERHOOD OF TEAMSTERS AND DISTRICT LODGE 190, INTERNATIONAL AS","All full-time and regular part-time drivers and mechanics employed by the Employer at the facility located at Adobe Road and Redwood Highway, Penngrove, California, excluding all other employees, guards, and supervisors as defined in the National Lab",,,
"Region 29, Brooklyn, New York",29-RC-011592,"SC & BP Services",Closed,04/30/2008,06/27/2008,"Certific. of Representative",Brooklyn,NY,A,"Single Labor Organization",Initial,06/04/2008,12,,"LOCAL 300S, PRODUCTION SERVICE AND SALES DISTRICT COUNCIL, U.F.C.W., AFL-CIO & CLC",7,,,,,,7,N,,N,"LOCAL 300S, PRODUCTION SERVICE AND SALES DISTRICT COUNCIL, U.F.C.W., AFL-CIO & CLC","Included:  All full-time and regular part-time laundry employees employed by the Employer working at the Avalon Gardens facility located at 7 Route 25A, Smithtown, NY.

Excluded:  All other employees, clerical employees, guards, and supervisors as",,,
"Region 29, Brooklyn, New York",29-RC-011595,"Kozy Shack Enterprise, Inc.",Closed,05/06/2008,10/07/2008,"Certification of Results",Hicksville,NY,A,"Single Labor Organization",Initial,06/04/2008,180,1,"LOCAL 1922, INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, AFL-CIO",70,,,,,90,160,N,6,N,,"Included:  All full-time and part-time regular production and maintenance employees, including packing, receiving and quality control employees, and porters, cooks, machine operators and mechanics employed by the Employer at its facility located at 5",,,
"Region 32, Oakland, California",32-RD-001559,"Zacky Farms LLC",Closed,05/06/2008,06/16/2008,"Certification of Results",Fresno,CA,A,"Single Labor Organization",Initial,06/04/2008,8,,"GENERAL TEAMSTERS UNION LOCAL NO. 431",2,,,,,4,6,N,2,N,,"All full-time and regular part-time feed truck drivers employed by the Employer at (and out of) its Fresno, California  facilities; excluding all other drivers, plant employees, managerial and administrative employees, office clerical employees, all",,,
"Region 10, Atlanta, Georgia",10-RC-015694,"Air Gas",Closed,04/23/2008,06/12/2008,"Certification of Results",Augusta,GA,A,"Single Labor Organization",Initial,06/03/2008,27,,"TEAMSTERS LOCAL 528",6,,,,,14,20,N,1,N,,"All ""B"" & ""C"" operators, box wahers, and maintenance employees employed by Airgas Carbonic, Inc. at its facility located at 727 Lanney Walker Blvd., Augusta, Georgia, but excluding all other employees ""A"" operators, branch employees, liquid plant emp",,,
"Region 14, Saint Louis, Missouri",14-RC-012702,"Mactec Development Corporation",Closed,03/17/2008,06/11/2008,"Certification of Results","Middle Brook",MO,A,"Single Labor Organization",Rerun,06/03/2008,17,,"LOCAL 513, INTERNATIONAL UNION OF OPERATING ENGINEERS, AFL-CIO",4,,,,,25,29,N,,N,,"All full-time and regular part-time heavy equipment operators, mechanics, and oilers employed by the Employer at the Taum Sauk project located in Middlebrook, Missouri, EXCLUDING office clerical and professional employees, guards, and supervisors as",,,
"Region 18, Minneapolis, Minnesota",18-RC-017574,"Mesabi Publishing Company",Closed,04/15/2008,06/10/2008,"Certific. of Representative",Virginia,MN,A,"Single Labor Organization",Initial,06/03/2008,7,,"UNITED STEELWORKERS, AFL-CIO, CLC",5,,,,,1,6,N,1,N,"UNITED STEELWORKERS, AFL-CIO, CLC","All full-time and regular part-time employees performing office and clerical duties, including accounts receivables, employed by the Employer at its Virginia, Minnesota facility; excluding guards and supervisors as defined by the Act, and all other e",,,
"Region 22, Newark, New Jersey",22-RC-012904,"MVM, Inc.",Closed,04/07/2008,06/12/2008,"Certific. of Representative",Newark,NJ,A,"Two Labor Organizations",Initial,06/03/2008,80,2,"UNITED GOVERNMENT SECURITY OFFICERS OF AMERICA INTERNATIONAL UNION",58,"UNITED STATES COURT SECURITY OFFICERS",,,,2,65,N,2,N,"UNITED GOVERNMENT SECURITY OFFICERS OF AMERICA INTERNATIONAL UNION","Included:  All full time and shared position Federal Court Security Officers (CSOs), Federal Special Security Officers (SSOs), Lead Federal Court Security Officers (LCSOs) and Lead Special Security Officers (LSSOs) employed by the Employer under its",,,
"Region 22, Newark, New Jersey",22-RC-012913,"Clark Nursing & Rehabilitation/HCSG (Joint ER's)",Closed,04/22/2008,06/12/2008,"Certific. of Representative",Clark,NJ,A,"Two Labor Organizations",Initial,06/03/2008,11,,"LOCAL 707 H.E.A.R.T",9,"SEIU 1199 NEW JERSEY",,,,,10,N,,N,"LOCAL 707 H.E.A.R.T","Inc. All fulltime and parttime workers, including porters, maids, waxers, strippers and laundry workers.
Exc. All other employees, supervisors, managers and guards as defined in the Act.",,,
"Region 29, Brooklyn, New York",29-RC-011591,"SC & BP Services",Closed,04/30/2008,07/03/2008,"Certific. of Representative",Brooklyn,NY,A,"Single Labor Organization",Initial,06/03/2008,5,,"LOCAL 300-S UNITED FOOD & COMMERCIAL WORKERS UNION",4,,,,,,4,N,,N,"LOCAL 300-S UNITED FOOD & COMMERCIAL WORKERS UNION","Included:  All full-time and regular part-time laundry employees employed by the Employer working at the  Brooklyn Care Center facility located at 1455 Coney Island Avenue, Brooklyn, NY.

Excluded:  All other employees, clerical employees, guards,",,,
"Region 15, New Orleans, Louisiana",26-RD-001151,"Sears Logistics Services, Inc.",Closed,04/23/2008,06/11/2008,"Certification of Results","Olive Branch",MS,A,"Single Labor Organization",Initial,06/03/2008,97,1,"IUE-CWA, LOCAL 282FW, AFL-CIO",35,,,,,50,85,N,,N,,"Included:  All full-time and regular part-time merchandise handlers, certified merchandise handlers, warehouse associates, plant clerical associates, maintenance associates, and maintenance mechanics employed by the Employer at its Olive Branch, Miss",,,
"Region 20, San Francisco, California",20-RC-018188,"Sunbridge Care Center for Paradise",Closed,05/19/2008,06/18/2008,"Certific. of Representative",Paradise,CA,A,"Single Labor Organization",Initial,06/03/2008,68,1,"SERVICE EMPLOYEES INTERNATIONAL UNION, CTW",46,,,,,4,50,N,,N,"SERVICE EMPLOYEES INTERNATIONAL UNION, CTW","All full-time and regular part-time service and maintenance employees, including Housekeeping, Dietary Aides,  Central Supply Clerks, Activities Assistants, Cooks, Laundry Aides, Nursing Assistants, CNAs, and RNAs.
Excluded:  All other employees, RN",,,
"Region 32, Oakland, California",32-RD-001556,"VSE Corporation",Closed,03/14/2008,06/16/2008,"Certific. of Representative",Julian,CA,A,"Single Labor Organization",Initial,06/03/2008,61,,"INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS, LOCAL LODGE 93",41,,,,,11,52,N,,N,"INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS, LOCAL LODGE 93","All full-time and regular part-time maintenance employees, including all vehicle and equipment mechanics, mechanics helpers, inspectors, supply workers and storage branch workers employed by the Employer at its Fort Hunter-Liggett, California facilit",,,
"Region 06, Pittsburgh, Pennsylvania",06-RD-001626,"McKees Rocks Industrial Enterprises, Inc.",Closed,04/30/2008,06/12/2008,"Certification of Results",Pittsburgh,PA,A,"Single Labor Organization",Initial,06/02/2008,16,,"SHOPMEN'S LOCAL UNION NO. 527 OF THE INTERNATIONAL ASSOCIATION OF BRIDGE, STRUCTURAL, ORNAMENTAL AND",,,,,,15,15,N,,N,,"All full-time and regular part-time machine operators, laborers and warehousemen employed by the Employer at its McKees Rocks, Pennsylvania, facility; excluding all office clerical employees, students, temporary employees and guards, professional emp",,,
"Region 14, Saint Louis, Missouri",14-RC-012706,"Interstate Brands Corporation",Closed,04/25/2008,06/10/2008,"Certific. of Representative","Saint Clair",MO,A,"Single Labor Organization",Initial,06/02/2008,2,,"UNITED FOOD AND COMMERCIAL WORKERS UNION LOCAL 655",2,,,,,,2,N,,N,"UNITED FOOD AND COMMERCIAL WORKERS UNION LOCAL 655","All full-time and regular part-time clerks employed by the Employer at its St. Clair, Missouri facility, EXCLUDING drivers, salesmen, office clerical and professional employees, guards and supervisors as defined in the Act and all other employees.",,,
"Region 21, Los Angeles, California",21-RC-021041,"Winn Management",Closed,04/24/2008,06/11/2008,"Certific. of Representative","San Pedro",CA,A,"Single Labor Organization",Initial,06/02/2008,13,,"INTERNATIONAL UNION OF OPERATING ENGINEERS, LOCAL NO. 501, AFL-CIO",8,,,,,3,11,N,1,N,"INTERNATIONAL UNION OF OPERATING ENGINEERS, LOCAL NO. 501, AFL-CIO","Included:  All leasing coordinators, resident service coordinators, HVAC maintenance employees, housekeeping employees, administration assistants, general maintenance employees,  maintenance technicians, warehouse employees, ECOM program managers, co",,,
"Region 12, Tampa, Florida",24-RC-008599,"Dyncorp International, LLC",Closed,05/05/2008,06/10/2008,"Certific. of Representative","San Juan",PR,A,"Single Labor Organization",Initial,06/02/2008,2,,"INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS, AFL-CIO",2,,,,,,2,N,,N,"INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS, AFL-CIO","Included: All full-time and part-time aircraft mechanics employed at the Employer's facility located at the Isla Grande Airport, in San Juan, Puerto Rico.


Excluded:  All office clerical employees, professional employees, managerial employees, gu",,,
"Region 05, Baltimore, Maryland",05-RC-016222,"First Transit (Fastran)",Closed,04/28/2008,06/13/2008,"Certific. of Representative",Alexandria,VA,A,"Single Labor Organization",Initial,06/02/2008,94,2,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, LOCAL 3001",67,,,,,2,69,N,,N,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, LOCAL 3001","Included
Drivers/operators and customer service aides employed by the Employer out of its Alexandria, VA facility
Excluded
All other employees, clerical and administrative personnel, dispatchers, professionals, managers, and guards and supervisors",,,
"Region 22, Newark, New Jersey",22-RC-012926,"Liberty Harley-Davidson",Closed,05/21/2008,07/18/2008,"Certification of Results",Rahway,NJ,A,"Single Labor Organization",Initial,06/02/2008,26,,"TEAMSTERS LOCAL 177",3,,,,,17,20,N,4,N,,"Inc. All full time and regular part-time Sales and Rental, Motorclothes, Service Writer, PartsService Technicians and Helpers, and Office employees.
Exc. Supervisors and managerial executives, security guards as defined by the Act.",,,
"Region 13, Chicago, Illinois",13-RC-021745,"Allgauers Fireside",Closed,04/22/2008,06/11/2008,"Certific. of Representative",Northbrook,IL,A,"Single Labor Organization",Initial,05/31/2008,35,,"UNITE HERE LOCAL 450",19,,,,,16,35,N,,N,"UNITE HERE LOCAL 450","All full-time and regular part-time Banquet servers, bartenders, bar backs, setup P.M. workers, captains, coffee break and on-call workers employed by the Employer at its facility located at 2855 North Milwaukee Avenue in Northbrook, Illinois; but ex",,,
"Region 02, New York, New York",02-RC-023151,"Marymount Manhattan College",Closed,09/29/2006,06/09/2008,"Certific. of Representative","New York",NY,B,"Single Labor Organization",Initial,05/30/2008,110,1,"Workers Essential at Leake and Watts",65,,,,,27,92,N,4,N,"Workers Essential at Leake and Watts","INCLUDED: All full-time and regular part-time non-professional employees employed by the Employer.

EXCLUDED: All professional employees in Unit B, full-time and part-time faculty, field maintenance employees and confidential employees, guards, pro","INCLUDED: All full-time and regular part-time non-professional employees employed by the Employer.

EXCLUDED: All professional employees in Unit B, full-time and part-time faculty, field maintenance employees and confidential employees, guards, pro",,
"Region 04, Philadelphia, Pennsylvania",04-RC-021427,"Trump Taj Mahal Casino Hotel",Closed,04/17/2008,10/02/2008,"Certific. of Representative","Atlantic City",NJ,A,"Single Labor Organization",Initial,05/30/2008,22,,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 331",16,,,,,6,22,N,,N,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 331","INCLUDED:  All full-time and regular part-time Convention Services Attendants and Lead Convention Services Attendants employed by the Employer at its 1000 Boardwalk & Virginia Avenue, Atlantic City, New Jersey facility.

EXCLUDED:  All other employ",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-021434,"First Student (Northampton)",Closed,04/30/2008,06/10/2008,"Certific. of Representative",Northampton,PA,A,"Single Labor Organization",Initial,05/30/2008,112,,"UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AMERICA LOCAL 677",76,,,,,27,103,N,1,N,"UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AMERICA LOCAL 677","INCLUDED:  All full time and regular part time bus drivers and mechanics employed by the Employer and working out of its facilities currently located at Northampton and Cherryville, PA.

EXCLUDED:  All office clerical emloyees, dispatchers, profess",,,
"Region 05, Baltimore, Maryland",05-RC-016218,"Schmidt Baking Company",Closed,04/18/2008,08/11/2008,"Certification of Results",Manassas,VA,A,"Single Labor Organization",Initial,05/30/2008,29,,"TEAMSTERS LOCAL UNION 639",12,,,,,11,23,N,,N,"TEAMSTERS LOCAL UNION 639","All full time and regular part time route sales drivers, employed by the Employer at its facility in Manassas, Virginia; but excluding all merchandisers, loaders, mechanics, office clerical employees, professional employees, managers, the branch mana",,,
"Region 08, Cleveland, Ohio",08-RC-016925,"Ohio Structures, Inc.",Closed,10/11/2007,06/09/2008,"Certification of Results","Berlin Center",OH,A,"Single Labor Organization",Rerun,05/30/2008,32,,"IRON WORKERS SHOPMEN'S LOCAL UNION NO. 468 A/W INTERNATIONAL ASSOCIATION OF BRIDGE, STRUCTURAL, ORNA",14,,,,,17,31,N,,N,,"All full-time and regular part-time production and maintenance employees, including all welders, fitters, laborers, blaster/painter/metalizers, material handlers and lift truck drivers, maintenance and material preparation employees, but exlcuding al",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-021430,"First Student Transportation",Closed,04/22/2008,06/10/2008,"Certific. of Representative",Harrisburg,PA,A,"Single Labor Organization",Initial,05/30/2008,54,,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 776",38,,,,,5,43,N,1,N,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 776","INCLUDED:  All full-time and regular part-time bus drivers, helpers and mechanics employed by the Employer at its facility lcoated at 1950 Crooked Hill Road, Harrisburg, Pennnylvania.

EXCLUDED:  All managers, dispatchers, office clerical, technici",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-021431,"First Student/Laidlaw, Inc. (Berlin)",Closed,04/24/2008,06/10/2008,"Certific. of Representative",Berlin,NJ,A,"Single Labor Organization",Initial,05/30/2008,237,1,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 676",149,,,,,63,212,N,7,N,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 676","INCLUDED:  All full-time and regular part-time Drivers and Monitors/Aides employed by the Employer at its 835 Watsontown Freedom Road, Berlin, New Jersey terminal and its 610 Fountain Avenue, Burlington New Jersey terminal.

INCLUDED:  All other em",,,
"Region 13, Chicago, Illinois",13-RC-021744,"First Student, Inc.",Closed,04/18/2008,06/11/2008,"Certific. of Representative","Crest Hill",IL,A,"Single Labor Organization",Initial,05/30/2008,436,,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 179",231,,,,,141,372,N,2,N,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 179","All full-time and regular part-time bus drivers and monitors employed by the Employer at its facilities located at 900 and 910 Sak Drive, Crest Hill, IL; excluding all other employees, dispatchers, mechanics, office clerical employees and guards, pro",,,
"Region 13, Chicago, Illinois",13-RC-021655,"Stampede Meat Inc.",Closed,08/02/2007,10/07/2008,"Certification of Results",Bridgeview,IL,A,"Single Labor Organization",Rerun,05/30/2008,394,,"UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION LOCAL 1546",149,,,,,217,366,N,6,N,,"all full-time and regular part-time hourly production employees, including automation technicians, cleaning persons, shipping/receiving employees, drivers (forklift), freezer persons, scale persons, line operators, machine operators, maintenance tech",,,
"Region 13, Chicago, Illinois",13-RC-021751,"Nationwide Rail Services Inc.",Closed,05/02/2008,06/11/2008,"Certific. of Representative",Lemont,IL,A,"Single Labor Organization",Initial,05/30/2008,18,,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 710",12,,,,,4,16,N,1,N,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 710","All full-time and regular part-time drivers employed by the Employer working out of its facility currently located at 36 E. Montrose, Romeoville, IL; but excluding all office clerical and guards, professional employees and supervisors as defined in t",,,
